Date(From - To),Transaction,Consumption Units(kWh),Cost Per/Unit,Amount,System Current Balance,Calculated Current Balance
2024-07-09 - 2024-07-09,Charge,11.13,7.0,77.91,-598.52,-598.52
2024-07-08 - 2024-07-08,Charge,10.61,5.26,55.81,-520.61,-520.61
2024-07-07 - 2024-07-07,Charge,7.98,5.26,41.97,-464.8,-464.8
2024-07-06 - 2024-07-06,Charge,8.40,23.54,197.71,-422.83,-422.83
2024-07-04 - 2024-07-05,Charge,19.43,4.63,89.96,-225.12,-225.12
2024-07-03 - 2024-07-03,Charge,9.63,4.63,44.59,-135.16,-135.16
2024-07-02 - 2024-07-02,Charge,10.47,4.63,48.47,-90.57,-90.57
2024-07-01 - 2024-07-01,Charge,7.33,4.63,33.94,-42.1,-42.1
2024-06-30 - 2024-06-30,Charge,14.66,7.59,111.27,-8.16,-8.16
2024-06-29 - 2024-06-29,Charge,10.70,7.59,81.22,103.11,103.11
2024-06-28 - 2024-06-28,Charge,8.38,7.59,63.6,184.33,184.33
2024-06-27 - 2024-06-27,Charge,10.18,7.59,77.27,247.93,247.93
2024-06-26 - 2024-06-26,Charge,10.08,7.59,76.5,325.2,325.2
2024-06-25 - 2024-06-25,Charge,10.06,7.59,76.36,401.7,401.7
2024-06-24 - 2024-06-24,Charge,9.82,7.59,74.53,478.06,478.06
2024-06-23 - 2024-06-23,Charge,9.35,7.59,70.97,552.59,552.59
2024-06-22 - 2024-06-22,Charge,7.41,7.27,53.89,623.56,623.56
2024-06-19 - 2024-06-21,Charge,17.26,7.2,124.28,677.45,677.45
2024-06-18 - 2024-06-18,Charge,5.89,7.2,42.4,801.73,801.73
2024-06-16 - 2024-06-17,Charge,19.74,7.2,142.13,844.13,844.13
2024-06-16 - 2024-06-16,VAT,NA,NA,104.76,986.26,986.26
2024-06-16 - 2024-06-16,Rebate Amount,NA,NA,10.42,1091.02,1091.02
2024-06-16 - 2024-06-16,Recharge,NA,NA,2200.0,1080.6,1080.6
2024-06-15 - 2024-06-15,Charge,10.53,7.2,75.82,-1119.4,-1119.4
2024-06-14 - 2024-06-14,Charge,11.57,7.2,83.3,-1043.58,-1043.58
2024-06-13 - 2024-06-13,Charge,10.05,7.2,72.36,-960.28,-960.28
2024-06-10 - 2024-06-12,Charge,34.40,7.2,247.68,-887.92,-887.92
2024-06-09 - 2024-06-09,Charge,11.00,6.94,76.37,-640.24,-640.24
2024-06-08 - 2024-06-08,Charge,10.64,5.26,55.97,-563.87,-563.87
2024-06-06 - 2024-06-07,Charge,19.35,13.09,253.21,-507.9,-507.9
2024-06-05 - 2024-06-05,Charge,9.80,4.63,45.38,-254.69,-254.69
2024-06-04 - 2024-06-04,Charge,10.27,4.63,47.55,-209.31,-209.31
2024-06-03 - 2024-06-03,Charge,10.85,4.63,50.23,-161.76,-161.76
2024-06-01 - 2024-06-02,Charge,12.63,4.63,58.48,-111.53,-111.53
2024-05-31 - 2024-05-31,Charge,10.08,7.59,76.5,-53.05,-53.05
2024-05-30 - 2024-05-30,Charge,9.22,7.59,69.98,23.45,23.45
2024-05-29 - 2024-05-29,Charge,8.06,7.59,61.18,93.43,93.43
2024-05-27 - 2024-05-28,Charge,13.59,7.59,103.15,154.61,154.61
2024-05-26 - 2024-05-26,Charge,8.91,7.59,67.62,257.76,257.76
